State,cost_dollars
AK,23251.5
AL,26366.923076923078
AR,23647.5
AZ,31765.25
CA,28494.696969696968
CO,27959.583333333332
CT,27737.7
DE,29445.5
FL,22079.615384615383
GA,21293.714285714286
HI,22005.333333333332
IA,24964.0
ID,23853.5
IL,28607.75
IN,20141.5
KS,23060.0
KY,25269.125
LA,24155.85714285714
MA,29149.076923076922
MD,27147.416666666668
ME,23540.14285714286
MI,28226.333333333332
MN,25534.666666666668
MO,25158.076923076922
MS,25810.375
MT,21716.0
NC,22521.0625
ND,21725.333333333332
NE,23260.333333333332
NH,26129.0
NJ,33386.769230769234
NM,22246.285714285714
NV,23047.333333333332
NY,22284.85714285714
OH,23457.75
OK,21733.916666666668
OR,28096.75
PA,29472.27027027027
RI,25887.5
SC,28538.0
SD,23925.0
TN,25702.9
TX,23899.657142857144
UT,22209.0
VA,32817.2
VT,30818.5
WA,28059.75
WI,20957.846153846152
WV,21640.8
WY,24818.0
